F,G,H,L,M,N,sigma0,k,n
0.3901,0.1523,0.8477,1.5,1.5,3.1076,197.81,651.38,0.205
0.1794,0.2305,0.7695,1.5,1.5,2.3496,151.68,536.42,0.175
0.1101,0.5051,0.4949,1.5,1.5,1.8787,122.65,581.8,0.266
0.3898,0.1681,0.8319,1.5,1.5,3.3743,165.76,628.09,0.222
0.7737,0.2216,0.7784,1.5,1.5,2.4167,164.36,669.4,0.233
0.1709,0.2198,0.7802,1.5,1.5,2.1097,194.81,664.85,0.293
0.1656,0.1571,0.8429,1.5,1.5,1.8158,141.23,694.33,0.219
0.1989,0.1572,0.8428,1.5,1.5,0.4508,181.97,430.14,0.244
0.807,0.3971,0.6029,1.5,1.5,4.0135,136.57,500.03,0.297
0.1412,0.1535,0.8465,1.5,1.5,0.7574,151.85,607.45,0.287
0.4819,0.4912,0.5088,1.5,1.5,2.9064,197.86,565.63,0.192
0.1695,0.1449,0.8551,1.5,1.5,0.4616,214.36,666.29,0.285
0.7038,0.2089,0.7911,1.5,1.5,3.7851,187.13,547.27,0.215
0.2983,0.1445,0.8555,1.5,1.5,2.0298,217.64,630.06,0.296
0.3609,0.1598,0.8402,1.5,1.5,0.6691,251.08,600.85,0.296
0.4736,0.2162,0.7838,1.5,1.5,1.77,163.26,481.07,0.19
0.2588,0.2536,0.7464,1.5,1.5,3.1826,291.9,615.45,0.187
0.1332,0.2665,0.7335,1.5,1.5,1.9406,127.9,390.73,0.254
0.2799,0.1695,0.8305,1.5,1.5,2.6918,133.72,298.57,0.177
0.2735,0.3256,0.6744,1.5,1.5,3.2902,271.46,644.71,0.276
0.1417,0.281,0.719,1.5,1.5,2.37,171.98,542.42,0.162
0.4566,0.1645,0.8355,1.5,1.5,2.0519,261.15,642.3,0.19
0.5771,0.1845,0.8155,1.5,1.5,1.2438,208.8,611.67,0.225
0.2486,0.2414,0.7586,1.5,1.5,3.0146,151.39,561.52,0.251
0.1748,0.2159,0.7841,1.5,1.5,1.47,266.35,645.53,0.215
0.147,0.1794,0.8206,1.5,1.5,0.6966,199.93,527.67,0.214
0.1337,0.2769,0.7231,1.5,1.5,1.8681,198.23,542.3,0.26
0.1389,0.1837,0.8163,1.5,1.5,1.6322,133.47,398.74,0.247
0.1823,0.2513,0.7487,1.5,1.5,0.5038,202.88,581.29,0.254
0.2252,0.3597,0.6403,1.5,1.5,2.693,140.94,584.47,0.182
0.3273,0.2884,0.7116,1.5,1.5,2.5726,167.93,643.9,0.2
0.2977,0.3698,0.6302,1.5,1.5,3.2654,185.67,437.35,0.26
0.1294,0.3342,0.6658,1.5,1.5,2.2829,188.44,438.22,0.18
0.2649,0.2269,0.7731,1.5,1.5,2.3304,208.52,583.43,0.29
0.1226,0.2851,0.7149,1.5,1.5,2.0735,258.25,632.96,0.295
0.1767,0.3369,0.6631,1.5,1.5,1.1423,251.98,690.69,0.245
0.3528,0.232,0.768,1.5,1.5,2.0765,179.15,586.11,0.261
0.1424,0.1832,0.8168,1.5,1.5,1.7186,174.86,548.81,0.163
0.2575,0.1911,0.8089,1.5,1.5,2.6925,126.56,508.31,0.183
0.5156,0.554,0.446,1.5,1.5,3.7479,268.75,634.23,0.19
0.2238,0.2112,0.7888,1.5,1.5,1.8322,182.98,591.68,0.28
0.6409,0.179,0.821,1.5,1.5,2.6122,136.91,622.22,0.2
0.1374,0.1841,0.8159,1.5,1.5,1.8496,172.83,642.22,0.201
0.2801,0.1699,0.8301,1.5,1.5,2.714,164.23,342.84,0.283
0.1961,0.1464,0.8536,1.5,1.5,1.1886,249.29,504.01,0.243
0.2879,0.2274,0.7726,1.5,1.5,2.6571,155.13,636.58,0.281
0.1756,0.1479,0.8521,1.5,1.5,1.0744,225.03,676.05,0.273
0.1563,0.2459,0.7541,1.5,1.5,1.6492,188.81,510.19,0.267
0.3939,0.2358,0.7642,1.5,1.5,1.2607,188.03,617.43,0.282
0.1439,0.3592,0.6408,1.5,1.5,2.5028,165.08,579.82,0.244
0.325,0.1457,0.8543,1.5,1.5,2.2911,175.62,542.36,0.196
0.1801,0.1621,0.8379,1.5,1.5,1.5664,269.16,609.66,0.174
0.1633,0.2542,0.7458,1.5,1.5,2.0108,150.13,604.49,0.162
0.1785,0.1891,0.8109,1.5,1.5,1.378,152.83,689.26,0.251
0.2626,0.4888,0.5112,1.5,1.5,2.8754,187.45,501.73,0.199
1.0833,0.2189,0.7811,1.5,1.5,7.3694,126.54,513.43,0.238
0.309,0.4577,0.5423,1.5,1.5,2.9809,198.16,436.3,0.225
0.2198,0.5126,0.4874,1.5,1.5,4.473,201.77,447.16,0.223
0.1396,0.18,0.82,1.5,1.5,1.6338,146.07,314.04,0.291
0.2514,0.1602,0.8398,1.5,1.5,2.4044,169.5,673.94,0.296
0.6064,0.1523,0.8477,1.5,1.5,3.5035,171.89,541.33,0.289
0.8728,0.2215,0.7785,1.5,1.5,5.7722,258.82,639.55,0.205
0.1814,0.3831,0.6169,1.5,1.5,3.6675,171.88,508.6,0.296
0.498,0.3078,0.6922,1.5,1.5,1.4746,158.63,371.77,0.299
0.1281,0.3413,0.6587,1.5,1.5,1.2299,134.47,648.52,0.236
0.7521,0.3893,0.6107,1.5,1.5,5.1283,165.09,378.64,0.3
0.717,0.2643,0.7357,1.5,1.5,3.3788,189.75,661.57,0.214
0.1527,0.3301,0.6699,1.5,1.5,2.9429,197.41,532.93,0.245
0.1271,0.3311,0.6689,1.5,1.5,2.7904,128.96,386.39,0.297
0.2616,0.1551,0.8449,1.5,1.5,0.6973,201.28,680.05,0.21
0.1552,0.2969,0.7031,1.5,1.5,2.321,222.84,691.75,0.21
0.3115,0.1695,0.8305,1.5,1.5,2.0558,145.44,410.74,0.298
0.2509,0.2346,0.7654,1.5,1.5,1.5214,260.79,590.96,0.202
0.1767,0.3484,0.6516,1.5,1.5,2.7439,292.13,649.78,0.3
0.741,0.1783,0.8217,1.5,1.5,4.5079,278.48,699.89,0.201
0.1537,0.3101,0.6899,1.5,1.5,2.8663,121.61,472.46,0.271
1.2679,0.2253,0.7747,1.5,1.5,7.1629,160.66,471.54,0.194
0.1354,0.2903,0.7097,1.5,1.5,2.3253,148.43,648.28,0.271
0.1287,0.3412,0.6588,1.5,1.5,1.3288,124.41,285.43,0.195
0.6248,0.199,0.801,1.5,1.5,3.4732,200.95,558.99,0.277
0.2348,0.1544,0.8456,1.5,1.5,1.685,299.12,679.8,0.251
0.1839,0.1548,0.8452,1.5,1.5,1.675,283.04,688.61,0.244
0.1237,0.3364,0.6636,1.5,1.5,1.2449,188.83,681.1,0.276
0.9549,0.197,0.803,1.5,1.5,3.2447,165.03,580.04,0.227
0.1852,0.2318,0.7682,1.5,1.5,0.7011,214.76,617.61,0.256
0.3797,0.5299,0.4701,1.5,1.5,3.8214,193.4,492.49,0.229
0.1605,0.1904,0.8096,1.5,1.5,2.0663,155.91,550.55,0.25
0.1468,0.1844,0.8156,1.5,1.5,0.7386,197.13,647.93,0.268
0.1948,0.165,0.835,1.5,1.5,1.4078,222.07,689.35,0.184
0.2636,0.1811,0.8189,1.5,1.5,2.2908,215.85,491.15,0.18
0.3135,0.158,0.842,1.5,1.5,1.6596,136.55,665.63,0.241
0.1525,0.28,0.72,1.5,1.5,1.7225,222.72,514.06,0.197
0.6549,0.332,0.668,1.5,1.5,2.107,241.88,643.37,0.234
0.9844,0.3926,0.6074,1.5,1.5,5.5453,252.8,690.25,0.196
0.2378,0.2845,0.7155,1.5,1.5,1.0226,191.01,698.13,0.252
0.1319,0.3695,0.6305,1.5,1.5,2.7848,165.97,651.75,0.177
0.2929,0.1448,0.8552,1.5,1.5,1.5331,140.39,362.4,0.251
0.1595,0.2396,0.7604,1.5,1.5,2.4845,123.21,651.59,0.217
0.116,0.3899,0.6101,1.5,1.5,2.9151,153.8,493.07,0.255
0.2413,0.4596,0.5404,1.5,1.5,2.8454,253.73,593.72,0.2
0.7119,0.3166,0.6834,1.5,1.5,2.4241,163.68,417.7,0.251
0.1806,0.1514,0.8486,1.5,1.5,0.6915,216.53,599.41,0.252
0.1833,0.1835,0.8165,1.5,1.5,2.0209,184.42,699.49,0.174
0.1702,0.1702,0.8298,1.5,1.5,1.8278,161.68,490.04,0.297
0.1373,0.1913,0.8087,1.5,1.5,1.5468,279.32,546.3,0.271
0.2562,0.5081,0.4919,1.5,1.5,0.9042,167.9,619.74,0.277
0.2278,0.2165,0.7835,1.5,1.5,2.7284,185.35,478.0,0.203
0.1846,0.1878,0.8122,1.5,1.5,0.7083,233.69,667.5,0.28
0.4077,0.1825,0.8175,1.5,1.5,3.2086,236.58,537.07,0.296
0.179,0.1741,0.8259,1.5,1.5,2.0845,250.47,686.31,0.245
0.1425,0.2811,0.7189,1.5,1.5,1.8727,272.64,566.34,0.26
0.1563,0.1586,0.8414,1.5,1.5,0.8774,133.66,460.33,0.242
0.1252,0.2997,0.7003,1.5,1.5,2.0072,232.1,485.28,0.298
0.2617,0.3987,0.6013,1.5,1.5,2.0108,138.84,518.42,0.203
0.3153,0.1907,0.8093,1.5,1.5,1.321,266.67,588.65,0.224
0.1554,0.1654,0.8346,1.5,1.5,0.6979,298.09,684.21,0.269
0.0945,0.4645,0.5355,1.5,1.5,2.3992,132.27,574.95,0.181
0.2421,0.1822,0.8178,1.5,1.5,1.7393,272.57,632.5,0.264
0.1429,0.4854,0.5146,1.5,1.5,2.62,163.12,604.21,0.227
0.589,0.173,0.827,1.5,1.5,4.432,241.02,527.71,0.267
0.4138,0.2159,0.7841,1.5,1.5,1.2077,149.07,652.47,0.26
0.3516,0.2178,0.7822,1.5,1.5,1.3334,129.57,508.52,0.211
0.1725,0.187,0.813,1.5,1.5,2.1702,166.14,510.46,0.263
0.333,0.3917,0.6083,1.5,1.5,3.5392,257.46,603.12,0.192
0.3131,0.1528,0.8472,1.5,1.5,3.0063,200.58,650.0,0.182
0.5335,0.165,0.835,1.5,1.5,1.8952,190.59,592.2,0.207
0.1619,0.2185,0.7815,1.5,1.5,1.7335,150.71,458.44,0.295
0.3531,0.1442,0.8558,1.5,1.5,0.7448,157.62,579.32,0.205
0.3883,0.4114,0.5886,1.5,1.5,1.8808,143.72,668.27,0.247
0.1755,0.1498,0.8502,1.5,1.5,1.9009,249.38,642.95,0.243
0.1853,0.3085,0.6915,1.5,1.5,0.9397,154.64,692.56,0.202
0.105,0.4623,0.5377,1.5,1.5,3.2441,214.69,598.54,0.193
0.3083,0.6207,0.3793,1.5,1.5,2.371,178.69,487.07,0.299
0.1371,0.2035,0.7965,1.5,1.5,0.8232,135.17,333.95,0.27
0.2661,0.387,0.613,1.5,1.5,2.816,123.35,618.51,0.255
0.5416,0.146,0.854,1.5,1.5,2.8917,209.92,484.04,0.251
0.2214,0.1993,0.8007,1.5,1.5,1.9869,256.59,690.04,0.281
0.2743,0.1488,0.8512,1.5,1.5,1.634,153.12,503.4,0.216
0.3866,0.2124,0.7876,1.5,1.5,1.7421,141.6,421.05,0.191
0.1848,0.2815,0.7185,1.5,1.5,0.8075,137.3,417.36,0.223
0.185,0.1514,0.8486,1.5,1.5,0.5674,176.9,461.32,0.279
0.1995,0.1638,0.8362,1.5,1.5,2.1861,146.13,583.64,0.286
0.1521,0.1865,0.8135,1.5,1.5,0.679,232.75,686.36,0.217
0.1483,0.2342,0.7658,1.5,1.5,2.0313,257.9,641.87,0.299
0.1743,0.2399,0.7601,1.5,1.5,1.2925,131.79,521.88,0.258
0.1481,0.158,0.842,1.5,1.5,1.7043,186.94,531.3,0.154
0.1651,0.2577,0.7423,1.5,1.5,1.1903,135.92,534.18,0.192
0.1932,0.1753,0.8247,1.5,1.5,1.6459,144.75,453.63,0.187
0.4231,0.1539,0.8461,1.5,1.5,1.537,280.51,608.08,0.272
0.2798,0.2094,0.7906,1.5,1.5,0.7819,123.7,658.56,0.299
0.234,0.3479,0.6521,1.5,1.5,2.5951,251.29,652.78,0.25
0.3134,0.3547,0.6453,1.5,1.5,3.8364,126.79,484.73,0.266
0.1332,0.2236,0.7764,1.5,1.5,2.0324,148.29,625.19,0.207
0.1427,0.2888,0.7112,1.5,1.5,1.7,234.23,517.35,0.286
0.4611,0.164,0.836,1.5,1.5,3.4994,231.33,664.9,0.199
0.2569,0.3382,0.6618,1.5,1.5,2.9755,126.96,459.83,0.198
0.1904,0.2353,0.7647,1.5,1.5,1.934,126.4,553.68,0.241
0.1891,0.3053,0.6947,1.5,1.5,1.9166,147.18,493.76,0.205
0.3339,0.2213,0.7787,1.5,1.5,3.2646,288.89,616.39,0.202
0.2916,0.2394,0.7606,1.5,1.5,1.5177,140.67,393.51,0.294
0.1233,0.4067,0.5933,1.5,1.5,1.9183,180.05,427.51,0.257
0.1638,0.1436,0.8564,1.5,1.5,1.0633,205.08,485.75,0.264
0.1702,0.5596,0.4404,1.5,1.5,3.9298,253.3,634.37,0.275
0.1443,0.17,0.83,1.5,1.5,0.3629,227.38,635.07,0.283
0.1946,0.1872,0.8128,1.5,1.5,1.9544,210.79,574.39,0.184
0.1984,0.2281,0.7719,1.5,1.5,1.0926,225.53,635.28,0.268
0.0886,0.5928,0.4072,1.5,1.5,2.4061,261.8,636.74,0.265
0.2576,0.1879,0.8121,1.5,1.5,1.7381,122.28,517.92,0.279
0.4552,0.279,0.721,1.5,1.5,2.2569,187.13,596.21,0.264
0.71,0.2786,0.7214,1.5,1.5,3.3861,171.64,697.2,0.298
0.0905,0.5862,0.4138,1.5,1.5,0.9799,162.66,584.56,0.21
0.5078,0.1483,0.8517,1.5,1.5,1.0834,235.91,675.63,0.237
0.6427,0.1786,0.8214,1.5,1.5,0.9946,174.99,576.76,0.21
0.1873,0.2591,0.7409,1.5,1.5,1.3732,164.31,364.45,0.21
0.1637,0.3738,0.6262,1.5,1.5,2.804,215.08,578.93,0.287
0.1484,0.1471,0.8529,1.5,1.5,1.9167,197.17,635.66,0.239
0.9661,0.2938,0.7062,1.5,1.5,7.7118,154.02,381.81,0.188
0.1385,0.4482,0.5518,1.5,1.5,3.5693,221.11,619.21,0.195
0.1507,0.1495,0.8505,1.5,1.5,1.7415,267.42,578.16,0.174
0.4527,0.4019,0.5981,1.5,1.5,2.8204,127.66,524.94,0.248
0.2308,0.1657,0.8343,1.5,1.5,1.7318,269.64,637.04,0.234
0.1352,0.2169,0.7831,1.5,1.5,1.7951,126.25,354.53,0.28
0.1171,0.3046,0.6954,1.5,1.5,1.3441,290.91,652.66,0.287
0.2901,0.241,0.759,1.5,1.5,1.475,189.47,406.93,0.258
1.2701,0.2151,0.7849,1.5,1.5,6.811,201.32,512.93,0.23
0.1432,0.15,0.85,1.5,1.5,1.759,283.98,558.45,0.21
0.2867,0.2636,0.7364,1.5,1.5,1.3914,174.56,365.05,0.298
0.4398,0.248,0.752,1.5,1.5,1.2324,153.1,536.97,0.271
0.2577,0.1625,0.8375,1.5,1.5,2.6467,248.6,535.19,0.193
0.1478,0.1792,0.8208,1.5,1.5,1.7291,175.02,632.22,0.197
0.769,0.3948,0.6052,1.5,1.5,3.1004,134.1,498.67,0.245
0.6862,0.1608,0.8392,1.5,1.5,1.7998,193.26,586.04,0.254
0.2598,0.3078,0.6922,1.5,1.5,1.6177,207.69,524.78,0.29
0.6047,0.1734,0.8266,1.5,1.5,4.7525,231.3,607.65,0.202
0.2776,0.1575,0.8425,1.5,1.5,2.0611,170.54,598.67,0.168
0.2721,0.1508,0.8492,1.5,1.5,2.5007,174.35,680.51,0.246
0.1428,0.1489,0.8511,1.5,1.5,1.3648,209.82,618.3,0.169
0.4631,0.1457,0.8543,1.5,1.5,3.0509,160.7,369.25,0.248
0.2366,0.1982,0.8018,1.5,1.5,1.647,264.31,536.11,0.297
0.1475,0.2889,0.7111,1.5,1.5,1.4307,286.45,669.67,0.271
0.4747,0.3876,0.6124,1.5,1.5,4.4168,167.75,653.9,0.229
0.1313,0.4429,0.5571,1.5,1.5,1.157,142.61,426.26,0.27
0.137,0.4037,0.5963,1.5,1.5,2.4752,145.42,685.49,0.23
0.1992,0.1549,0.8451,1.5,1.5,1.976,163.92,394.2,0.163
0.1259,0.2577,0.7423,1.5,1.5,1.8895,264.05,676.61,0.173
0.173,0.3406,0.6594,1.5,1.5,2.3178,147.48,658.49,0.198
0.1872,0.3957,0.6043,1.5,1.5,2.1982,171.4,684.78,0.263
0.1447,0.1607,0.8393,1.5,1.5,1.4204,131.03,572.02,0.181
0.321,0.2339,0.7661,1.5,1.5,3.4998,132.73,654.69,0.294
0.255,0.1558,0.8442,1.5,1.5,2.1051,188.42,492.11,0.286
0.257,0.1572,0.8428,1.5,1.5,2.5148,247.64,594.13,0.202
0.1426,0.372,0.628,1.5,1.5,2.7781,155.78,611.93,0.169
0.6563,0.154,0.846,1.5,1.5,1.444,129.16,596.33,0.241
0.1738,0.1441,0.8559,1.5,1.5,1.3931,192.65,430.3,0.268
0.1152,0.3248,0.6752,1.5,1.5,1.2565,135.56,518.2,0.237
0.1483,0.2105,0.7895,1.5,1.5,1.2484,155.18,558.56,0.243
0.124,0.2703,0.7297,1.5,1.5,2.2969,199.62,512.17,0.245
0.6207,0.1769,0.8231,1.5,1.5,3.5264,154.31,511.12,0.243
0.1625,0.1808,0.8192,1.5,1.5,2.1663,210.01,640.11,0.26
0.3211,0.2092,0.7908,1.5,1.5,2.8848,200.02,679.46,0.168
0.2842,0.1763,0.8237,1.5,1.5,1.2356,130.0,601.62,0.227
0.1454,0.2452,0.7548,1.5,1.5,0.9978,203.66,688.82,0.186
1.0142,0.1501,0.8499,1.5,1.5,3.3031,151.47,524.44,0.229
0.2,0.1897,0.8103,1.5,1.5,1.6578,288.71,697.95,0.25
0.1584,0.4764,0.5236,1.5,1.5,1.679,177.38,536.66,0.226
0.5102,0.2352,0.7648,1.5,1.5,3.9253,183.56,395.71,0.26
0.1889,0.2725,0.7275,1.5,1.5,2.5771,203.53,417.64,0.216
0.1614,0.1634,0.8366,1.5,1.5,1.9029,121.32,482.96,0.169
0.2696,0.1461,0.8539,1.5,1.5,1.9227,155.93,348.01,0.227
0.2777,0.1446,0.8554,1.5,1.5,1.7775,140.6,441.97,0.272
0.1606,0.4938,0.5062,1.5,1.5,3.7062,175.75,594.38,0.231
0.7104,0.1716,0.8284,1.5,1.5,2.3348,124.8,676.32,0.223
0.2378,0.3036,0.6964,1.5,1.5,1.6083,128.51,504.22,0.26
0.2137,0.2209,0.7791,1.5,1.5,0.8053,163.49,463.05,0.223
0.3025,0.2382,0.7618,1.5,1.5,3.2083,163.81,444.32,0.182
0.5427,0.2104,0.7896,1.5,1.5,3.9326,133.91,403.32,0.274
0.1921,0.1462,0.8538,1.5,1.5,2.0894,170.63,631.48,0.237
